CollectDate,Ammmonia Nitrogen (mg/L),Conductivity (µmhos/cm),Dissolved Oxygen (mg/L),Fecal Coliform (CFU/100ml),Nitrate Nitrite (mg/L),Orthophosphate Phosphate (mg/L),pH,Temperature (°C),Total Nitrogen (mg/L),Total Phosphorus (mg/L),WQI
1/6/94,0.02,103,9.15,1,0.27,0.011,7.4,7.4,0.41,0.017,94.89114711
1/6/94,0.02,104,8.98,1,0.28,0.012,7.4,7.3,0.416666667,0.019666667,98.69944987
1/6/94,0.02,102,9,1,0.29,0.012,7.4,7.3,0.44,0.019,101.5539973
1/6/94,0.02,105,9.21,1,0.28,0.012,7.4,7.3,0.416666667,0.019666667,98.72232533
1/6/94,0.02,104,9.2,1,0.28,0.012,7.4,7.3,0.416666667,0.019666667,98.72129882
1/6/94,0.02,103,9.19,1,0.28,0.013,7.4,7.3,0.4,0.023,99.69892813
2/14/94,0.02,102.5,10.81,7,0.31,0.009,7.4,6.5,0.47,0.03,111.0253628
2/14/94,0.02,103.9,10.71,7,0.296666667,0.009,7.4,6.5,0.5,0.036,108.8749642
2/14/94,0.02,105,10.71,7,0.26,0.009,7.4,6.5,0.53,0.049,101.8275774
2/14/94,0.02,105.2,10.65,7,0.296666667,0.009,7.4,6.5,0.5,0.036,108.8690488
2/14/94,0.02,105.2,10.62,7,0.296666667,0.009,7.4,6.5,0.5,0.036,108.8660694
2/14/94,0.02,105.5,10.62,7,0.32,0.009,7.4,6.5,0.5,0.029,113.7729888
3/8/94,0.02,103.4,11.5,0,0.28,0.003,7.8,7.5,0.53,0.013,97.10390092
3/8/94,0.02,104,11.06,0,0.326666667,0.005,7.6,7.1,0.54,0.013666667,111.2923024
3/8/94,0.02,105.1,10.97,0,0.38,0.003,7.6,7.1,0.55,0.013,127.1025092
3/8/94,0.02,105.3,10.8,0,0.326666667,0.005,7.5,6.9,0.54,0.013666667,111.250104
3/8/94,0.02,105.9,10.14,0,0.326666667,0.005,7.4,6.7,0.54,0.013666667,111.1681569
3/8/94,0.02,105.3,9.69,0,0.32,0.009,7.3,6.5,0.54,0.015,109.5528371
3/22/94,0.02,104,12.63,0,0.29,0.002,8.7,8,0.5,0.016,101.1151177
3/22/94,0.02,105.3,12.24,0,0.3,0.002,8.3,7.6,0.515,0.015,103.7703735
3/22/94,0.02,105.9,11.91,0,0.31,0.002,8.1,7.6,0.53,0.014,106.4644052
3/22/94,0.02,106.2,11.76,0,0.3,0.002,8.1,7.5,0.515,0.015,103.7082858
