Water samples are reported as mg/L of water, while sediment samples are reported as mg/kg of 
                    sediment (wet weight). Results of bacteria cultures are reported as CFU (colony-forming units)/100mls
                     of liquid sample or as MPN (most probable number)/g of thick or solid samples.
Note: ORG/100 ml = CFU/100 ml
These data include samples collected during both baseflow and wet weather/storm flow events.
Chlorophyll a - The laboratory changed analysis methods in July 1996. This method change resulted 
                    in a 14 percent increase in chlorophyll values due to improved extraction. Values reported prior to 
                    July 1996 can be adjusted by increasing them 14 percent for comparison with more recent data.
Total Phosphorus Note: The KCEL changed the TP analysis method in July 1998 and again in Jan 2007.
                    These changes resulted in a bias towards lower TP values reported. For comparisons with historical 
                    data, values reported after July 1, 1998 may be multiplied by a factor of 1.262. (R2 = 0.989)
Lake Sammamish-0622
CollectDate,SampleNum,Depth (m),Ammmonia Nitrogen (mg/L),Ammmonia Nitrogen Qualifier*,AN MDL (mg/L),Conductivity (µmhos/cm),Cond Qualifier*,Cond MDL (µmhos/cm),Dissolved Oxygen (mg/L),DO Qualifier*,DO MDL (mg/L),Ecoli,Ecoli Qualifier*,Fecal Coliform (CFU/100ml),Fecal Coliform Qualifier*,Nitrate Nitrite (mg/L),Nitrate Nitrite Qualifier*,Nitrate Nitrite MDL (mg/L),Orthophosphate Phosphate (mg/L),OP Qualifier*,OP MDL (mg/L),pH,pH Qualifier*,Temperature (°C),Temperature Qualifier*,Total Nitrogen (mg/L),TN Qualifier*,TN MDL (mg/L),Total Phosphorus (mg/L),TP Qualifier*,TP MDL (mg/L),Total Alkalinity (mg/L),Total Alkalinity Qualifier*,Total Alkalinity MDL (mg/L),
01/06/1994,L2704-15,1.0,0.020,<MDL      ,0.020,103.0,,,9.02,,,,,4,,0.280,,0.050,0.0110,,0.0020,7.4,,7.4,,0.400,,0.050,0.0210,,0.005,41.0,,0.2,
01/06/1994,L2704-16,5.0,,,,104.0,,,8.79,,,,,,,,,,,,,7.4,,7.3,,,,,,,,,,,
01/06/1994,L2704-17,10.0,0.020,<MDL      ,0.020,104.0,,,9.35,,,,,,,0.280,,0.050,0.0100,,0.0020,7.4,,7.3,,0.410,,0.050,0.0180,,0.005,42.0,,0.2,
02/14/1994,L2938-15,1.0,0.020,<MDL      ,0.020,102.6,,,10.95,,,,,6,,0.310,,0.050,0.0090,,0.0020,7.4,,6.5,,4.900,TA        ,0.050,0.0450,,0.005,,,,
02/14/1994,L2938-16,5.0,,,,103.9,,,10.92,,,,,,,,,,,,,7.4,,6.5,,,,,,,,,,,
02/14/1994,L2938-17,10.0,0.020,<MDL      ,0.020,105.1,,,10.82,,,,,,,0.260,,0.050,0.0090,,0.0020,7.4,,6.5,,0.480,,0.050,0.0390,,0.005,,,,
03/08/1994,L3136-15,1.0,0.020,<MDL      ,0.020,102.0,,,11.11,,,,,0,,0.410,,0.050,0.0040,<RDL      ,0.0020,7.5,,8.1,,0.630,,0.050,0.0140,,0.005,,,,
03/08/1994,L3136-16,5.0,,,,104.4,,,10.57,,,,,,,,,,,,,7.5,,6.6,,,,,,,,,,,
03/08/1994,L3136-17,10.0,0.020,<MDL      ,0.020,105.6,,,10.07,,,,,,,0.390,,0.050,0.0070,,0.0020,7.3,,6.5,,0.570,,0.050,0.0160,,0.005,,,,
03/22/1994,L3278-15,1.0,0.020,<MDL      ,0.020,103.9,,,11.98,,,,,1,,0.340,,0.050,0.0020,<RDL      ,0.0020,8.3,,7.9,,0.560,,0.050,0.0280,,0.005,,,,
