collectdate,Ammonia_Nitrogen,Conductivity,Dissolved_Oxygen,Fecal_Coliform,Nitrate_Nitrite,Orthophosphate_Phosphate,pH,Temperature,Total_Nitrogen,Total_Phosphorous,WQI
1994-01-06,0.02,103,9.15,1,0.27,0.011,7.4,7.4,0.41,0.017,94.891147105532
1994-01-06,0.02,104,8.98,1,0.28,0.0119999999999999,7.4,7.3,0.416666666666667,0.0196666666666666,98.6994498696533
1994-01-06,0.02,102,9,1,0.29,0.012,7.4,7.3,0.44,0.019,101.553997291303
1994-01-06,0.02,105,9.21,1,0.28,0.0119999999999999,7.4,7.3,0.416666666666667,0.0196666666666666,98.7223253314232
1994-01-06,0.02,104,9.2,1,0.28,0.0119999999999999,7.4,7.3,0.416666666666667,0.0196666666666666,98.7212988171115
1994-01-06,0.02,103,9.19,1,0.28,0.013,7.4,7.3,0.4,0.023,99.6989281319895
1994-02-14,0.02,102.5,10.81,7,0.31,0.009,7.4,6.5,0.47,0.03,111.025362841929
1994-02-14,0.02,103.9,10.71,7,0.296666666666667,0.009,7.4,6.5,0.5,0.036,108.874964163355
1994-02-14,0.02,105,10.71,7,0.26,0.009,7.4,6.5,0.53,0.049,101.827577360458
1994-02-14,0.02,105.2,10.65,7,0.296666666666667,0.009,7.4,6.5,0.5,0.036,108.86904875394
1994-02-14,0.02,105.2,10.62,7,0.296666666666667,0.009,7.4,6.5,0.5,0.036,108.866069352014
1994-02-14,0.02,105.5,10.62,7,0.32,0.009,7.4,6.5,0.5,0.029,113.772988816092
1994-03-08,0.02,103.4,11.5,0,0.28,0.003,7.8,7.5,0.53,0.013,97.103900919096
1994-03-08,0.02,104,11.06,0,0.326666666666667,0.005,7.6,7.1,0.54,0.0136666666666666,111.292302371691
1994-03-08,0.02,105.1,10.97,0,0.38,0.003,7.6,7.1,0.55,0.013,127.102509203271
1994-03-08,0.02,105.3,10.8,0,0.326666666666667,0.005,7.5,6.9,0.54,0.0136666666666666,111.250104014192
1994-03-08,0.02,105.9,10.14,0,0.326666666666667,0.005,7.4,6.7,0.54,0.0136666666666666,111.168156931442
1994-03-08,0.02,105.3,9.69,0,0.32,0.009,7.3,6.5,0.54,0.015,109.552837143248
1994-03-22,0.02,104,12.63,0,0.29,0.002,8.7,8,0.5,0.016,101.11511774148
1994-03-22,0.02,105.3,12.24,0,0.3,0.002,8.3,7.6,0.515,0.015,103.770373478664
1994-03-22,0.02,105.9,11.91,0,0.31,0.002,8.1,7.6,0.53,0.014,106.46440519062
1994-03-22,0.02,106.2,11.76,0,0.3,0.002,8.1,7.5,0.515,0.015,103.708285799579
1994-03-22,0.02,106.3,11.71,0,0.3,0.002,8.1,7.5,0.515,0.015,103.703323467736
1994-03-22,0.02,106.5,11.7,0,0.3,0.002,8.1,7.5,0.515,0.015,103.702337009828
1994-04-05,0.02,103.7,15.04,4,0.223,0.0047,9.4,10.3,0.439,0.009,79.1991131157103
1994-04-05,0.02,104.2,15.01,4,0.286333333333333,0.0047,9.3,10,0.472666666666667,0.0103333333333333,98.6711926258836
1994-04-05,0.02,103.3,13.28,4,0.276,0.0047,8.7,7.9,0.454,0.009,94.8017700074185
1994-04-05,0.02,103.3,11.83,4,0.286333333333333,0.0047,7.9,7.4,0.472666666666667,0.0103333333333333,98.1377243837203
1994-04-05,0.02,103.7,11.13,4,0.286333333333333,0.0047,7.7,7.2,0.472666666666667,0.0103333333333333,98.0476399848141
1994-04-05,0.02,103.9,9.59,4,0.36,0.0047,7.4,7.1,0.525,0.013,120.917571253826
1994-04-19,0.02,104.5,12.89,0,0.241,0.002,9.2,12.6,0.427,0.011,85.0686349444333
1994-04-19,0.02,105,12.89,0,0.278,0.002,9.2,12.5,0.474333333333333,0.0139999999999999,97.1781918162236
1994-04-19,0.02,103.9,13.65,0,0.252,0.002,9.2,9.5,0.469,0.018,90.449267429246
1994-04-19,0.02,103.6,12.52,0,0.278,0.002,8.7,8.7,0.474333333333333,0.0139999999999999,96.8876274823205
1994-04-19,0.02,104.1,11.35,0,0.278,0.002,8,8,0.474333333333333,0.0139999999999999,96.6994231926933
1994-04-19,0.02,104.1,9.31,0,0.341,0.002,7.5,7.5,0.527,0.013,115.181482578512
1994-05-03,0.02,108.3,10.84,0,0.251,0.002,8.8,13.8,0.416,0.008,87.0021221059251
1994-05-03,0.02,108.5,10.53,0,0.284333333333333,0.002,8.8,13.4,0.46,0.0093333333333333,97.4532781801134
1994-05-03,0.02,107,12.69,0,0.276,0.002,8.7,9.4,0.454,0.008,94.5017367638451
1994-05-03,0.02,106.6,11.29,0,0.284333333333333,0.002,7.9,8.2,0.46,0.0093333333333333,97.1724537277803
