Water samples are reported as mg/L of water, while sediment samples are reported as mg/kg of 
                    sediment (wet weight). Results of bacteria cultures are reported as CFU (colony-forming units)/100mls
                     of liquid sample or as MPN (most probable number)/g of thick or solid samples.
Note: ORG/100 ml = CFU/100 ml
These data include samples collected during both baseflow and wet weather/storm flow events.
Chlorophyll a - The laboratory changed analysis methods in July 1996. This method change resulted 
                    in a 14 percent increase in chlorophyll values due to improved extraction. Values reported prior to 
                    July 1996 can be adjusted by increasing them 14 percent for comparison with more recent data.
Total Phosphorus Note: The KCEL changed the TP analysis method in July 1998 and again in Jan 2007.
                    These changes resulted in a bias towards lower TP values reported. For comparisons with historical 
                    data, values reported after July 1, 1998 may be multiplied by a factor of 1.262. (R2 = 0.989)
Lake Sammamish-0611
CollectDate,SampleNum,Depth (m),Ammmonia Nitrogen (mg/L),Ammmonia Nitrogen Qualifier*,AN MDL (mg/L),Conductivity (µmhos/cm),Cond Qualifier*,Cond MDL (µmhos/cm),Dissolved Oxygen (mg/L),DO Qualifier*,DO MDL (mg/L),Ecoli,Ecoli Qualifier*,Fecal Coliform (CFU/100ml),Fecal Coliform Qualifier*,Nitrate Nitrite (mg/L),Nitrate Nitrite Qualifier*,Nitrate Nitrite MDL (mg/L),Orthophosphate Phosphate (mg/L),OP Qualifier*,OP MDL (mg/L),pH,pH Qualifier*,Temperature (°C),Temperature Qualifier*,Total Nitrogen (mg/L),TN Qualifier*,TN MDL (mg/L),Total Phosphorus (mg/L),TP Qualifier*,TP MDL (mg/L),Total Alkalinity (mg/L),Total Alkalinity Qualifier*,Total Alkalinity MDL (mg/L),
01/06/1994,L2704-18,1.0,0.020,<MDL      ,0.020,103.0,,,9.15,,,,,1,,0.270,,0.050,0.0110,,0.0020,7.4,,7.4,,0.410,,0.050,0.0170,,0.005,42.0,,0.2,
01/06/1994,L2704-19,5.0,,,,104.0,,,8.98,,,,,,,,,,,,,7.4,,7.3,,,,,,,,,,,
01/06/1994,L2704-20,10.0,0.020,<MDL      ,0.020,102.0,,,9.00,,,,,,,0.290,,0.050,0.0120,,0.0020,7.4,,7.3,,0.440,,0.050,0.0190,,0.005,42.0,,0.2,
01/06/1994,L2704-21,15.0,,,,105.0,,,9.21,,,,,,,,,,,,,7.4,,7.3,,,,,,,,,,,
01/06/1994,L2704-22,20.0,,,,104.0,,,9.20,,,,,,,,,,,,,7.4,,7.3,,,,,,,,,,,
01/06/1994,L2704-23,22.5,0.020,<MDL      ,0.020,103.0,,,9.19,,,,,,,0.280,,0.050,0.0130,,0.0020,7.4,,7.3,,0.400,,0.050,0.0230,,0.005,42.0,,0.2,
01/06/1994,L2704-18,1.0,0.020,<MDL      ,0.020,103.0,,,9.15,,,,,1,,0.270,,0.050,0.0110,,0.0020,7.4,,7.4,,0.410,,0.050,0.0170,,0.005,42.0,,0.2,
02/14/1994,L2938-18,1.0,0.020,<MDL      ,0.020,102.5,,,10.81,,,,,7,,0.310,,0.050,0.0090,,0.0020,7.4,,6.5,,0.470,,0.050,0.0300,,0.005,,,,
02/14/1994,L2938-19,5.0,,,,103.9,,,10.71,,,,,,,,,,,,,7.4,,6.5,,,,,,,,,,,
02/14/1994,L2938-20,10.0,0.020,<MDL      ,0.020,105.0,,,10.71,,,,,,,0.260,,0.050,0.0090,,0.0020,7.4,,6.5,,0.530,,0.050,0.0490,,0.005,,,,
02/14/1994,L2938-21,15.0,,,,105.2,,,10.65,,,,,,,,,,,,,7.4,,6.5,,,,,,,,,,,
