Water samples are reported as mg/L of water, while sediment samples are reported as mg/kg of 
                    sediment (wet weight). Results of bacteria cultures are reported as CFU (colony-forming units)/100mls
                     of liquid sample or as MPN (most probable number)/g of thick or solid samples.
Note: ORG/100 ml = CFU/100 ml
These data include samples collected during both baseflow and wet weather/storm flow events.
Chlorophyll a - The laboratory changed analysis methods in July 1996. This method change resulted 
                    in a 14 percent increase in chlorophyll values due to improved extraction. Values reported prior to 
                    July 1996 can be adjusted by increasing them 14 percent for comparison with more recent data.
Total Phosphorus Note: The KCEL changed the TP analysis method in July 1998 and again in Jan 2007.
                    These changes resulted in a bias towards lower TP values reported. For comparisons with historical 
                    data, values reported after July 1, 1998 may be multiplied by a factor of 1.262. (R2 = 0.989)
Lake Washington-WABUOY
CollectDate,SampleNum,Depth (m),Ammmonia Nitrogen (mg/L),Ammmonia Nitrogen Qualifier*,AN MDL (mg/L),Conductivity (µmhos/cm),Cond Qualifier*,Cond MDL (µmhos/cm),Dissolved Oxygen (mg/L),DO Qualifier*,DO MDL (mg/L),Ecoli,Ecoli Qualifier*,Fecal Coliform (CFU/100ml),Fecal Coliform Qualifier*,Nitrate Nitrite (mg/L),Nitrate Nitrite Qualifier*,Nitrate Nitrite MDL (mg/L),Orthophosphate Phosphate (mg/L),OP Qualifier*,OP MDL (mg/L),pH,pH Qualifier*,Temperature (°C),Temperature Qualifier*,Total Nitrogen (mg/L),TN Qualifier*,TN MDL (mg/L),Total Phosphorus (mg/L),TP Qualifier*,TP MDL (mg/L),Total Alkalinity (mg/L),Total Alkalinity Qualifier*,Total Alkalinity MDL (mg/L),
05/17/2018,L70155-68,1.1,,,,90.9,,0.5,10.40,,0.5,,,,,,,,,,,7.7,,16.6,,,,,,,,,,,
05/17/2018,L70155-69,2.0,,,,90.8,,0.5,10.40,,0.5,,,,,,,,,,,7.7,,16.5,,,,,,,,,,,
05/17/2018,L70155-70,3.0,,,,90.8,,0.5,10.40,,0.5,,,,,,,,,,,7.7,,16.5,,,,,,,,,,,
05/17/2018,L70155-71,4.0,,,,90.9,,0.5,10.40,,0.5,,,,,,,,,,,7.7,,16.4,,,,,,,,,,,
05/17/2018,L70155-72,5.1,,,,91.6,,0.5,10.40,,0.5,,,,,,,,,,,7.7,,16.2,,,,,,,,,,,
05/17/2018,L70155-73,6.0,,,,91.8,,0.5,10.40,,0.5,,,,,,,,,,,7.7,,16.0,,,,,,,,,,,
05/17/2018,L70155-74,7.0,,,,92.0,,0.5,10.50,,0.5,,,,,,,,,,,7.7,,15.6,,,,,,,,,,,
05/17/2018,L70155-75,8.0,,,,92.1,,0.5,10.50,,0.5,,,,,,,,,,,7.7,,15.4,,,,,,,,,,,
05/17/2018,L70155-76,9.1,,,,92.1,,0.5,10.50,,0.5,,,,,,,,,,,7.7,,15.4,,,,,,,,,,,
05/17/2018,L70155-77,10.1,,,,92.7,,0.5,10.90,,0.5,,,,,,,,,,,7.7,,12.1,,,,,,,,,,,
05/17/2018,L70155-78,11.0,,,,92.3,,0.5,11.00,,0.5,,,,,,,,,,,7.6,,11.1,,,,,,,,,,,
05/17/2018,L70155-79,12.1,,,,94.6,,0.5,10.90,,0.5,,,,,,,,,,,7.6,,10.4,,,,,,,,,,,
05/17/2018,L70155-80,13.1,,,,94.4,,0.5,11.00,,0.5,,,,,,,,,,,7.5,,10.0,,,,,,,,,,,
05/17/2018,L70155-81,14.0,,,,94.2,,0.5,11.00,,0.5,,,,,,,,,,,7.5,,9.7,,,,,,,,,,,
05/17/2018,L70155-82,15.1,,,,94.1,,0.5,11.00,,0.5,,,,,,,,,,,7.5,,9.1,,,,,,,,,,,
05/17/2018,L70155-83,16.1,,,,93.9,,0.5,11.00,,0.5,,,,,,,,,,,7.5,,8.9,,,,,,,,,,,
05/17/2018,L70155-84,17.1,,,,94.0,,0.5,11.00,,0.5,,,,,,,,,,,7.5,,8.9,,,,,,,,,,,
05/17/2018,L70155-85,18.0,,,,93.6,,0.5,11.00,,0.5,,,,,,,,,,,7.5,,8.8,,,,,,,,,,,
05/17/2018,L70155-86,19.1,,,,93.7,,0.5,11.00,,0.5,,,,,,,,,,,7.5,,8.7,,,,,,,,,,,
05/17/2018,L70155-87,20.0,,,,93.4,,0.5,11.00,,0.5,,,,,,,,,,,7.5,,8.6,,,,,,,,,,,
05/17/2018,L70155-88,21.0,,,,92.8,,0.5,11.00,,0.5,,,,,,,,,,,7.5,,8.5,,,,,,,,,,,
05/17/2018,L70155-89,22.0,,,,92.7,,0.5,11.00,,0.5,,,,,,,,,,,7.5,,8.5,,,,,,,,,,,
05/17/2018,L70155-90,23.1,,,,92.7,,0.5,11.00,,0.5,,,,,,,,,,,7.5,,8.5,,,,,,,,,,,
05/17/2018,L70155-91,24.1,,,,92.7,,0.5,11.00,,0.5,,,,,,,,,,,7.5,,8.4,,,,,,,,,,,
05/17/2018,L70155-92,25.0,,,,92.7,,0.5,11.00,,0.5,,,,,,,,,,,7.4,,8.4,,,,,,,,,,,
05/17/2018,L70155-93,30.1,,,,92.7,,0.5,11.00,,0.5,,,,,,,,,,,7.4,,8.3,,,,,,,,,,,
