Water samples are reported as mg/L of water, while sediment samples are reported as mg/kg of 
                    sediment (wet weight). Results of bacteria cultures are reported as CFU (colony-forming units)/100mls
                     of liquid sample or as MPN (most probable number)/g of thick or solid samples.
Note: ORG/100 ml = CFU/100 ml
These data include samples collected during both baseflow and wet weather/storm flow events.
Chlorophyll a - The laboratory changed analysis methods in July 1996. This method change resulted 
                    in a 14 percent increase in chlorophyll values due to improved extraction. Values reported prior to 
                    July 1996 can be adjusted by increasing them 14 percent for comparison with more recent data.
Total Phosphorus Note: The KCEL changed the TP analysis method in July 1998 and again in Jan 2007.
                    These changes resulted in a bias towards lower TP values reported. For comparisons with historical 
                    data, values reported after July 1, 1998 may be multiplied by a factor of 1.262. (R2 = 0.989)
Lake Union-0512
CollectDate,SampleNum,Depth (m),Ammmonia Nitrogen (mg/L),Ammmonia Nitrogen Qualifier*,AN MDL (mg/L),Conductivity (µmhos/cm),Cond Qualifier*,Cond MDL (µmhos/cm),Dissolved Oxygen (mg/L),DO Qualifier*,DO MDL (mg/L),Ecoli,Ecoli Qualifier*,Fecal Coliform (CFU/100ml),Fecal Coliform Qualifier*,Nitrate Nitrite (mg/L),Nitrate Nitrite Qualifier*,Nitrate Nitrite MDL (mg/L),Orthophosphate Phosphate (mg/L),OP Qualifier*,OP MDL (mg/L),pH,pH Qualifier*,Temperature (°C),Temperature Qualifier*,Total Nitrogen (mg/L),TN Qualifier*,TN MDL (mg/L),Total Phosphorus (mg/L),TP Qualifier*,TP MDL (mg/L),Total Alkalinity (mg/L),Total Alkalinity Qualifier*,Total Alkalinity MDL (mg/L),
01/18/1994,L2782-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,170,,0.190,,0.050,0.0090,,0.0020,6.8,,8.0,,0.340,,0.050,0.0210,,0.005,,,,
01/18/1994,L2782-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,170,,0.190,,0.050,0.0090,,0.0020,6.8,,8.0,,0.340,,0.050,0.0210,,0.005,,,,
02/22/1994,L2963-1,Composite,0.042,,0.020,,,,,,,,,32,,0.250,,0.050,0.0110,,0.0020,7.1,,6.3,,0.310,,0.050,0.0250,,0.005,,,,
02/22/1994,L2963-1,Composite,0.042,,0.020,,,,,,,,,32,,0.250,,0.050,0.0110,,0.0020,7.1,,6.3,,0.310,,0.050,0.0250,,0.005,,,,
03/14/1994,L3197-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,32,,0.170,,0.050,0.0050,,0.0020,7.3,,9.0,,0.400,,0.050,0.0280,,0.005,,,,
03/14/1994,L3197-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,32,,0.170,,0.050,0.0050,,0.0020,7.3,,9.0,,0.400,,0.050,0.0280,,0.005,,,,
04/11/1994,L3418-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,44,,0.119,,0.050,0.0020,<MDL      ,0.0020,7.7,,10.5,,0.337,,0.050,0.0190,,0.005,,,,
04/11/1994,L3418-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,44,,0.119,,0.050,0.0020,<MDL      ,0.0020,7.7,,10.5,,0.337,,0.050,0.0190,,0.005,,,,
05/16/1994,L3629-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,22,,0.050,<MDL      ,0.050,0.0039,<RDL      ,0.0020,8.2,,15.0,,0.248,,0.050,0.0250,,0.005,,,,
05/16/1994,L3629-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,22,,0.050,<MDL      ,0.050,0.0039,<RDL      ,0.0020,8.2,,15.0,,0.248,,0.050,0.0250,,0.005,,,,
06/20/1994,L3895-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,160,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,7.5,,17.2,,0.264,,0.050,0.0130,,0.005,,,,
06/20/1994,L3895-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,160,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,7.5,,17.2,,0.264,,0.050,0.0130,,0.005,,,,
07/11/1994,L4044-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,44,,0.050,<MDL      ,0.050,0.0044,<RDL      ,0.0020,7.3,,19.0,,0.282,,0.050,0.0108,,0.005,,,,
07/11/1994,L4044-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,44,,0.050,<MDL      ,0.050,0.0044,<RDL      ,0.0020,7.3,,19.0,,0.282,,0.050,0.0108,,0.005,,,,
08/10/1994,L4249-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,80,,0.050,<MDL      ,0.050,0.0028,<RDL      ,0.0020,7.2,,21.0,,0.275,,0.050,0.0170,,0.005,,,,
08/10/1994,L4249-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,80,,0.050,<MDL      ,0.050,0.0028,<RDL      ,0.0020,7.2,,21.0,,0.275,,0.050,0.0170,,0.005,,,,
09/21/1994,L4488-1,Composite,0.029,<RDL      ,0.020,,,,,,,,,61,,0.050,<MDL      ,0.050,0.0025,<RDL      ,0.0020,7.6,,19.1,,0.361,,0.050,0.0350,,0.005,,,,
09/21/1994,L4488-1,Composite,0.029,<RDL      ,0.020,,,,,,,,,61,,0.050,<MDL      ,0.050,0.0025,<RDL      ,0.0020,7.6,,19.1,,0.361,,0.050,0.0350,,0.005,,,,
10/10/1994,L4668-1,Composite,0.066,,0.020,,,,,,,,,220,,0.050,<MDL      ,0.050,0.0167,E         ,0.0020,7.5,,17.0,,0.361,,0.050,0.0350,,0.005,,,,
10/10/1994,L4668-1,Composite,0.066,,0.020,,,,,,,,,220,,0.050,<MDL      ,0.050,0.0167,E         ,0.0020,7.5,,17.0,,0.361,,0.050,0.0350,,0.005,,,,
11/07/1994,L4869-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,68,,0.050,<MDL      ,0.050,0.0032,<RDL      ,0.0020,7.7,,11.3,,0.271,,0.050,0.0110,,0.005,,,,
11/07/1994,L4869-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,68,,0.050,<MDL      ,0.050,0.0032,<RDL      ,0.0020,7.7,,11.3,,0.271,,0.050,0.0110,,0.005,,,,
12/12/1994,L5052-1,Composite,0.021,<RDL      ,0.020,,,,,,,,,60,,0.143,,0.050,0.0099,,0.0020,7.4,,7.2,,0.338,,0.050,0.0330,,0.005,,,,
12/12/1994,L5052-1,Composite,0.021,<RDL      ,0.020,,,,,,,,,60,,0.143,,0.050,0.0099,,0.0020,7.4,,7.2,,0.338,,0.050,0.0330,,0.005,,,,
01/09/1995,L5174-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,81,,0.210,,0.050,0.0170,,0.0020,7.3,,6.7,,0.364,,0.050,0.0390,,0.005,,,,
01/09/1995,L5174-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,81,,0.210,,0.050,0.0170,,0.0020,7.3,,6.7,,0.364,,0.050,0.0390,,0.005,,,,
02/14/1995,L5351-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,130,,0.217,,0.050,0.0123,,0.0020,7.6,,5.6,,0.453,,0.050,0.0350,,0.005,,,,
02/14/1995,L5351-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,130,,0.217,,0.050,0.0123,,0.0020,7.6,,5.6,,0.453,,0.050,0.0350,,0.005,,,,
03/13/1995,L5618-1,Composite,0.020,<MDL      ,0.020,,,,,,,,,100,,0.185,,0.050,0.0056,,0.0020,7.6,,8.3,,0.445,,0.050,0.0150,,0.005,,,,
