Water samples are reported as mg/L of water, while sediment samples are reported as mg/kg of 
                    sediment (wet weight). Results of bacteria cultures are reported as CFU (colony-forming units)/100mls
                     of liquid sample or as MPN (most probable number)/g of thick or solid samples.
Note: ORG/100 ml = CFU/100 ml
These data include samples collected during both baseflow and wet weather/storm flow events.
Chlorophyll a - The laboratory changed analysis methods in July 1996. This method change resulted 
                    in a 14 percent increase in chlorophyll values due to improved extraction. Values reported prior to 
                    July 1996 can be adjusted by increasing them 14 percent for comparison with more recent data.
Total Phosphorus Note: The KCEL changed the TP analysis method in July 1998 and again in Jan 2007.
                    These changes resulted in a bias towards lower TP values reported. For comparisons with historical 
                    data, values reported after July 1, 1998 may be multiplied by a factor of 1.262. (R2 = 0.989)
Lake Union-A522
CollectDate,SampleNum,Depth (m),Ammmonia Nitrogen (mg/L),Ammmonia Nitrogen Qualifier*,AN MDL (mg/L),Conductivity (µmhos/cm),Cond Qualifier*,Cond MDL (µmhos/cm),Dissolved Oxygen (mg/L),DO Qualifier*,DO MDL (mg/L),Ecoli,Ecoli Qualifier*,Fecal Coliform (CFU/100ml),Fecal Coliform Qualifier*,Nitrate Nitrite (mg/L),Nitrate Nitrite Qualifier*,Nitrate Nitrite MDL (mg/L),Orthophosphate Phosphate (mg/L),OP Qualifier*,OP MDL (mg/L),pH,pH Qualifier*,Temperature (°C),Temperature Qualifier*,Total Nitrogen (mg/L),TN Qualifier*,TN MDL (mg/L),Total Phosphorus (mg/L),TP Qualifier*,TP MDL (mg/L),Total Alkalinity (mg/L),Total Alkalinity Qualifier*,Total Alkalinity MDL (mg/L),
02/14/1994,L2936-3,1.0,0.020,<MDL      ,0.020,99.0,,,11.52,,,,,58,,0.150,,0.050,0.0060,,0.0020,7.4,,6.3,,0.360,,0.050,0.0250,,0.005,,,,
02/14/1994,L2936-4,5.0,,,,100.8,,,11.38,,,,,,,,,,,,,7.4,,6.3,,,,,,,,,,,
02/14/1994,L2936-5,10.0,,,,101.7,,,11.32,,,,,,,,,,,,,7.4,,6.3,,,,,,,,,,,
02/14/1994,L2936-6,14.0,0.020,<MDL      ,0.020,101.7,,,11.29,,,,,,,0.180,,0.050,0.0050,,0.0020,7.4,,6.3,,0.370,,0.050,0.0160,,0.005,,,,
02/14/1994,L2936-3,1.0,0.020,<MDL      ,0.020,99.0,,,11.52,,,,,58,,0.150,,0.050,0.0060,,0.0020,7.4,,6.3,,0.360,,0.050,0.0250,,0.005,,,,
03/07/1994,L3134-3,1.0,0.020,<MDL      ,0.020,100.1,,,10.69,,,,,4,,0.210,,0.050,0.0100,,0.0020,7.5,,7.8,,0.340,,0.050,0.0210,,0.005,,,,
03/07/1994,L3134-4,5.0,,,,101.3,,,10.66,,,,,,,,,,,,,7.4,,7.7,,,,,,,,,,,
03/07/1994,L3134-5,10.0,,,,102.2,,,10.58,,,,,,,,,,,,,7.4,,7.5,,,,,,,,,,,
03/07/1994,L3134-6,14.0,0.020,<MDL      ,0.020,102.6,,,10.51,,,,,,,0.230,,0.050,0.0100,,0.0020,7.4,,7.5,,0.350,,0.050,0.0220,,0.005,,,,
03/07/1994,L3134-3,1.0,0.020,<MDL      ,0.020,100.1,,,10.69,,,,,4,,0.210,,0.050,0.0100,,0.0020,7.5,,7.8,,0.340,,0.050,0.0210,,0.005,,,,
03/21/1994,L3279-3,1.0,0.020,<MDL      ,0.020,102.4,,,11.46,,,,,34,,0.140,,0.050,0.0050,<RDL      ,0.0020,7.6,,8.1,,0.330,,0.050,0.0170,,0.005,,,,
03/21/1994,L3279-4,5.0,,,,103.8,,,11.37,,,,,,,,,,,,,7.6,,8.1,,,,,,,,,,,
03/21/1994,L3279-5,10.0,,,,104.4,,,11.26,,,,,,,,,,,,,7.6,,8.1,,,,,,,,,,,
03/21/1994,L3279-6,14.0,0.020,<MDL      ,0.020,104.6,,,11.21,,,,,,,0.150,,0.050,0.0051,,0.0020,7.5,,8.1,,0.330,,0.050,0.0190,,0.005,,,,
