,CollectDate,Ammmonia Nitrogen (mg/L),Conductivity (µmhos/cm),Dissolved Oxygen (mg/L),Fecal Coliform (CFU/100ml),Nitrate Nitrite (mg/L),Orthophosphate Phosphate (mg/L),pH,Temperature (°C),Total Nitrogen (mg/L),Total Phosphorus (mg/L),WQI
108,1997-01-23,0.024,99.0,10.9,160.0,0.31,0.0136,7.4,6.6,0.493,0.0289,112.04002484786369
109,1997-01-23,0.021,101.0,10.8,160.0,0.302,0.0129,7.3,6.6,0.477,0.0298,108.9499374051786
111,1997-02-04,0.027,87.6,10.3,63.0,0.328,0.0134,7.2,6.5,0.452,0.0236,116.5783204259983
112,1997-02-04,0.028,93.5,10.7,63.0,0.336,0.0136,7.2,6.5,0.465,0.0265,120.2228016643788
114,1997-03-04,0.02,116.0,11.3,160.0,0.344,0.0181,7.5,6.8,0.464,0.0269,120.50215699780715
115,1997-03-04,0.021,146.0,11.3,160.0,0.333,0.0184,7.5,6.8,0.467,0.0261,117.26845359976795
117,1997-04-01,0.025,100.0,11.6,27.0,0.314,0.0161,7.8,8.0,0.451,0.0296,113.84495147544544
118,1997-04-01,0.026,259.0,11.5,27.0,0.317,0.0155,7.7,7.5,0.465,0.0309,115.41975378171323
122,1997-06-04,0.036,137.0,10.2,20.0,0.094,0.002,8.6,17.2,0.405,0.0335,52.421148293505944
123,1997-06-04,0.046,137.0,10.1,20.0,0.095,0.0021,8.5,16.8,0.28,0.0239,52.54354457338352
129,1997-07-02,0.03,98.1,9.4,40.0,0.053,0.0025,7.6,18.5,0.362,0.0153,32.71053634065413
130,1997-07-02,0.032,121.0,9.1,40.0,0.051500000000000004,0.00285,7.5,18.5,0.379,0.0173,33.468078725587624
131,1997-07-02,0.034,351.0,9.1,40.0,0.05,0.0032,7.5,18.5,0.396,0.0193,34.26648630163706
140,1997-08-04,0.035,223.0,8.8,16.0,0.051,0.0076,7.6,22.5,0.274,0.0133,33.074522080926535
141,1997-08-04,0.02,345.0,8.1,16.0,0.05,0.007,7.4,22.0,0.251,0.0162,28.97936743721343
150,1997-09-02,0.196,301.0,7.6,35.0,0.067,0.0135,7.4,22.4,0.47,0.0256,90.29652243220153
151,1997-09-02,0.252,305.0,7.0,35.0,0.058,0.0154,7.3,21.8,0.507,0.0284,105.25721426764335
163,1997-10-08,0.041,144.0,9.1,380.0,0.05,0.0082,7.5,16.2,0.236,0.0231,37.14545761753157
164,1997-10-08,0.036,148.0,8.7,380.0,0.05,0.0102,7.5,16.2,0.303,0.0293,37.63018741377734
170,1997-12-02,0.049,129.0,9.4,180.0,0.189,0.0093,7.6,10.1,0.347,0.0204,80.36778236092421
171,1997-12-02,0.041,147.0,9.4,180.0,0.186,0.0095,7.5,10.1,0.332,0.0199,76.88046960482215
173,1998-01-06,0.04,92.3,10.3,70.0,0.253,0.0095,7.4,7.8,0.319,0.0207,96.84585695211508
174,1998-01-06,0.033,105.0,10.2,70.0,0.251,0.0115,7.4,7.8,0.246,0.0223,94.48495519617113
175,1998-01-06,0.036500000000000005,127.0,10.2,70.0,0.252,0.010499999999999999,7.4,7.8,0.2825,0.0215,95.66138673680304
177,1998-02-02,0.02,103.0,11.0,47.0,0.275,0.0133,7.5,7.8,0.362,0.0187,97.05147421157574
178,1998-02-02,0.02,130.0,10.9,47.0,0.272,0.0137,7.5,7.7,0.434,0.0202,96.74069679960101
180,1998-03-02,0.02,101.0,11.6,43.0,0.241,0.0032,7.7,7.9,0.457,0.0052,82.93151445093184
181,1998-03-02,0.02,108.0,11.4,43.0,0.225,0.0034,7.7,7.9,0.41,0.0103,79.5416230795505
182,1998-03-02,0.02,232.0,11.3,43.0,0.23299999999999998,0.0033,7.7,7.9,0.4335,0.00775,81.22096207862404
185,1998-04-07,0.02,112.0,11.7,45.0,0.174,0.002,7.9,10.7,0.366,0.0221,67.86666451775264
186,1998-04-07,0.02,121.0,11.4,45.0,0.171,0.002,7.8,10.4,0.368,0.0086,62.86181215822794
187,1998-04-07,0.02,154.0,11.5,45.0,0.1725,0.002,7.8,10.3,0.367,0.01535,65.34311767314723
190,1998-05-05,0.02,150.0,11.7,20.0,0.091,0.002,8.4,15.5,0.391,0.0137,40.77238646522727
191,1998-05-05,0.02,146.0,11.5,20.0,0.093,0.002,8.2,15.0,0.36,0.0145,41.48992872039946
194,1998-06-02,0.02,147.0,10.7,19.0,0.118,0.002,8.0,16.0,0.312,0.0179,49.895214128337805
195,1998-06-02,0.02,160.0,10.0,19.0,0.129,0.002,7.8,15.4,0.332,0.0239,54.92994288172661
198,1998-07-07,0.01,181.0,9.7,110.0,0.04,0.002,7.7,20.0,0.304,0.0174,23.440677077366793
199,1998-07-07,0.017,219.0,9.0,110.0,0.051,0.002,7.6,19.1,0.305,0.0175,28.752831377604522
202,1998-08-04,0.01,343.0,9.2,23.0,0.02,0.002,7.9,23.0,0.26,0.0163,17.143613679372944
203,1998-08-04,0.01,363.0,8.6,23.0,0.02,0.002,7.7,22.4,0.295,0.0194,18.043921417300663
206,1998-09-10,0.01,582.0,8.0,49.0,0.02,0.002,7.4,20.9,0.23,0.0159,16.70440078428891
207,1998-09-10,0.01,585.0,7.8,49.0,0.02,0.002,7.4,20.9,0.221,0.0142,16.15514265973453
210,1998-10-06,0.012,660.0,8.7,35.0,0.042,0.002,7.5,17.8,0.256,0.0193,24.874144610105912
211,1998-10-06,0.018,718.0,7.9,35.0,0.051,0.0032,7.4,17.6,0.272,0.0185,29.094017315930778
213,1998-11-03,0.026,286.0,8.8,70.0,0.043,0.0035,6.8,13.7,0.262,0.0155,27.992160961959442
214,1998-11-03,0.028,487.0,8.7,70.0,0.044,0.0039,7.0,13.7,0.237,0.0145,28.550751326119812
216,1998-11-30,0.02,95.7,9.7,160.0,0.166,0.0061,7.4,9.8,0.324,0.0123,62.22459619985243
217,1998-11-30,0.02,96.5,9.7,160.0,0.165,0.006,7.5,9.8,0.323,0.0122,61.895027714869684
219,1999-01-04,0.011,121.0,10.6,64.0,0.261,0.0103,7.5,7.5,0.388,0.0153,89.08378310790259
220,1999-01-04,0.011,134.0,10.5,64.0,0.219,0.01,7.6,7.5,0.403,0.0161,76.72870407070562
221,1999-01-04,0.011,386.0,10.4,64.0,0.24,0.01015,7.6,7.5,0.3955,0.0157,82.90205444872527
223,1999-02-02,0.014,97.1,11.8,55.0,0.295,0.0112,7.0,7.0,0.426,0.0179,101.1360773113809
224,1999-02-02,0.013,111.0,11.3,55.0,0.297,0.0114,7.1,7.0,0.434,0.0174,101.26034776966819
226,1999-03-02,0.023,94.0,11.7,80.0,0.319,0.0112,7.3,6.9,0.514,0.0187,111.47439693348191
227,1999-03-02,0.016,120.0,11.7,80.0,0.307,0.0112,7.3,6.9,0.504,0.021,106.43733755190352
232,1999-04-05,0.01,101.0,12.3,14.0,0.268,0.002,7.8,8.5,0.443,0.0115,89.99342647494859
233,1999-04-05,0.01,111.0,12.3,14.0,0.267,0.002,7.8,8.3,0.42,0.013,90.08372539413061
238,1999-05-03,0.01,149.0,11.9,50.0,0.185,0.002,7.8,11.9,0.372,0.0116,65.11650022212149
239,1999-05-03,0.01,159.0,11.8,50.0,0.183,0.002,7.8,11.9,0.365,0.0122,64.67170654998974
246,1999-06-07,0.01,237.0,10.11,18.0,0.126,0.002,7.7,16.0,0.381,0.015,48.4988641660443
247,1999-06-07,0.01,243.0,10.16,18.0,0.122,0.002,7.7,15.4,0.415,0.0165,47.78711927073431
250,1999-07-06,0.03,185.0,9.74,13.0,0.075,0.0024,7.8,18.5,0.354,0.0126,38.53134171530491
251,1999-07-06,0.041,251.0,8.35,13.0,0.078,0.0025,7.6,17.4,0.378,0.0159,43.568331655721266
257,1999-08-02,0.032,229.0,8.4,14.0,0.053,0.002,7.4,20.9,0.278,0.0127,32.388627279950164
258,1999-08-02,0.045,322.0,7.97,14.0,0.056,0.003,7.3,20.2,0.326,0.0247,40.82595391241583
263,1999-09-07,0.01,450.0,9.5,45.0,0.02,0.002,7.7,19.8,0.274,0.0171,17.245641278083845
264,1999-09-07,0.01,482.0,8.5,45.0,0.02,0.002,7.5,19.3,0.276,0.0186,17.563231515335566
270,1999-10-04,0.053,565.0,8.6,66.0,0.02,0.009,7.5,17.2,0.27,0.0242,32.12280232190835
271,1999-10-04,0.058,554.0,8.4,66.0,0.02,0.0094,7.4,17.0,0.278,0.0242,33.60976426450923
273,1999-11-01,0.055,169.0,8.8,70.0,0.081,0.0054,7.4,13.0,0.353,0.0157,48.371396777031634
274,1999-11-01,0.056,329.0,8.6,70.0,0.081,0.00545,7.4,13.0,0.349,0.0162,48.79976525462821
275,1999-11-01,0.056,265.0,8.7,70.0,0.081,0.00545,7.5,13.0,0.349,0.0162,48.81171835704022
276,1999-11-01,0.057,667.0,8.7,70.0,0.081,0.0055,7.3,13.0,0.345,0.0167,49.25971134717658
278,1999-12-08,0.018,135.0,9.7,140.0,0.223,0.0085,7.2,9.5,0.407,0.0151,79.76235386682238
279,1999-12-08,0.018,240.0,9.6,140.0,0.221,0.0085,7.2,9.5,0.397,0.0156,79.28443021081921
281,2000-01-03,0.022,154.0,10.23,220.0,0.288,0.01,7.3,7.9,0.448,0.0174,101.25859663431756
282,2000-01-03,0.021,350.0,10.14,220.0,0.293,0.0106,7.3,7.9,0.471,0.0176,102.57317207640894
284,2000-02-07,0.012,97.6,10.46,160.0,0.308,0.0097,7.5,7.3,0.476,0.0179,104.45044761157166
285,2000-02-07,0.012,105.3,10.37,160.0,0.306,0.0099,7.5,7.3,0.481,0.0178,103.82371281587308
287,2000-03-06,0.01,135.9,11.37,230.0,0.293,0.0066,7.5,7.6,0.474,0.0163,98.94274008862774
288,2000-03-06,0.01,199.0,11.03,230.0,0.296,0.0068,7.5,7.5,0.484,0.0155,99.58914550557272
301,2000-05-01,0.01,92.0,11.6,23.0,0.139,0.002,8.4,11.6,0.386,0.0113,51.206529809506286
302,2000-05-01,0.01,91.6,11.4,23.0,0.142,0.002,8.3,11.1,0.368,0.0119,52.19581028343715
308,2000-06-06,0.01,129.4,10.6,39.0,0.02,0.002,8.5,16.4,0.297,0.0121,15.713872367215332
309,2000-06-06,0.018,215.9,10.2,39.0,0.023,0.002,8.3,16.2,0.304,0.0191,21.078674427598937
312,2000-07-03,0.058,267.1,7.8,45.0,0.067,0.0024,7.4,19.2,0.29,0.0072,42.62562918231765
313,2000-07-03,0.056,276.6,8.0,45.0,0.065,0.0022,7.4,19.2,0.316,0.008,41.73629494928262
319,2000-08-07,0.014,366.6,7.1,57.0,0.067,0.002,7.4,21.7,0.263,0.0083,29.765402328410005
320,2000-08-07,0.015,369.4,7.4,57.0,0.067,0.002,7.4,21.6,0.357,0.0201,33.83068295936998
326,2000-09-05,0.01,556.5,8.1,130.0,0.066,0.002,7.3,19.5,0.306,0.0111,29.172825138022816
327,2000-09-05,0.01,567.3,7.7,130.0,0.064,0.002,7.3,19.5,0.296,0.0115,28.631920732315212
332,2000-10-03,0.21,292.1,8.2,400.0,0.074,0.0093,7.3,17.4,0.469,0.0165,93.62774488607853
333,2000-10-03,0.212,297.6,7.2,400.0,0.074,0.0095,7.4,17.4,0.487,0.0189,94.8945907684615
335,2000-10-30,0.025,122.7,8.6,65.0,0.065,0.0044,7.3,13.9,0.274,0.0117,33.20220230814993
336,2000-10-30,0.026,126.2,8.6,65.0,0.067,0.0044,7.3,14.0,0.256,0.0124,34.28246254501198
338,2000-12-05,0.014,122.1,9.2,71.0,0.12,0.002,7.4,9.0,0.354,0.0115,46.26308412011183
339,2000-12-05,0.012,123.6,9.3,71.0,0.119,0.002,7.4,9.0,0.387,0.0114,45.41060108877984
341,2001-01-02,0.016,102.0,9.8,43.0,0.181,0.003,6.7,7.5,0.359,0.0116,65.17545401355412
342,2001-01-02,0.018,105.0,9.7,43.0,0.183,0.003,6.8,7.5,0.373,0.0118,66.4607654290505
344,2001-01-29,0.01,103.0,10.5,200.0,0.192,0.0027,6.9,6.9,0.35,0.0107,66.45176944805169
