,CollectDate,Ammmonia Nitrogen (mg/L),Conductivity (µmhos/cm),Dissolved Oxygen (mg/L),Fecal Coliform (CFU/100ml),Nitrate Nitrite (mg/L),Orthophosphate Phosphate (mg/L),pH,Temperature (°C),Total Nitrogen (mg/L),Total Phosphorus (mg/L),WQI
0,1997-01-23,0.024,99.0,10.9,160.0,0.31,0.0136,7.4,6.6,0.493,0.0289,112.04
1,1997-01-23,0.021,101.0,10.8,160.0,0.302,0.0129,7.3,6.6,0.477,0.0298,108.95
2,1997-02-04,0.027,87.6,10.3,63.0,0.328,0.0134,7.2,6.5,0.452,0.0236,116.58
3,1997-02-04,0.028,93.5,10.7,63.0,0.336,0.0136,7.2,6.5,0.465,0.0265,120.22
4,1997-03-04,0.02,116.0,11.3,160.0,0.344,0.0181,7.5,6.8,0.464,0.0269,120.5
5,1997-03-04,0.021,146.0,11.3,160.0,0.333,0.0184,7.5,6.8,0.467,0.0261,117.27
6,1997-04-01,0.025,100.0,11.6,27.0,0.314,0.0161,7.8,8.0,0.451,0.0296,113.84
7,1997-04-01,0.026,259.0,11.5,27.0,0.317,0.0155,7.7,7.5,0.465,0.0309,115.42
8,1997-06-04,0.036,137.0,10.2,20.0,0.094,0.002,8.6,17.2,0.405,0.0335,52.42
9,1997-06-04,0.046,137.0,10.1,20.0,0.095,0.0021,8.5,16.8,0.28,0.0239,52.54
10,1997-07-02,0.03,98.1,9.4,40.0,0.053,0.0025,7.6,18.5,0.362,0.0153,32.71
11,1997-07-02,0.032,121.0,9.1,40.0,0.0515,0.00285,7.5,18.5,0.379,0.0173,33.47
12,1997-07-02,0.034,351.0,9.1,40.0,0.05,0.0032,7.5,18.5,0.396,0.0193,34.27
13,1997-08-04,0.035,223.0,8.8,16.0,0.051,0.0076,7.6,22.5,0.274,0.0133,33.07
14,1997-08-04,0.02,345.0,8.1,16.0,0.05,0.007,7.4,22.0,0.251,0.0162,28.98
15,1997-09-02,0.196,301.0,7.6,35.0,0.067,0.0135,7.4,22.4,0.47,0.0256,90.3
16,1997-09-02,0.252,305.0,7.0,35.0,0.058,0.0154,7.3,21.8,0.507,0.0284,105.26
17,1997-10-08,0.041,144.0,9.1,380.0,0.05,0.0082,7.5,16.2,0.236,0.0231,37.15
18,1997-10-08,0.036,148.0,8.7,380.0,0.05,0.0102,7.5,16.2,0.303,0.0293,37.63
19,1997-12-02,0.049,129.0,9.4,180.0,0.189,0.0093,7.6,10.1,0.347,0.0204,80.37
20,1997-12-02,0.041,147.0,9.4,180.0,0.186,0.0095,7.5,10.1,0.332,0.0199,76.88
