,CollectDate,Ammmonia Nitrogen (mg/L),Conductivity (µmhos/cm),Dissolved Oxygen (mg/L),Fecal Coliform (CFU/100ml),Nitrate Nitrite (mg/L),Orthophosphate Phosphate (mg/L),pH,Temperature (°C),Total Nitrogen (mg/L),Total Phosphorus (mg/L),WQI
0,1994-01-06,0.02,104.0,9.32,4.0,0.3,0.012,7.400000000000001,7.266666666666667,0.44,0.022,105.4897945267691
1,1994-01-06,0.02,105.0,9.37,4.0,0.31,0.0125,7.4,7.3,0.445,0.023,108.81793038976703
2,1994-01-06,0.02,104.0,9.31,4.0,0.31,0.0125,7.4,7.3,0.445,0.023,108.81193820557841
3,1994-01-06,0.02,103.0,9.28,4.0,0.32,0.013,7.4,7.2,0.45,0.024,112.12388745984079
4,1994-02-14,0.02,102.5,11.02,5.0,0.33,0.008,7.4,6.5,0.46,0.038,119.42485411311694
5,1994-02-14,0.02,103.3,10.85,5.0,0.325,0.009000000000000001,7.4,6.5,0.47,0.0455,120.19193474002722
6,1994-02-14,0.02,103.7,10.84,5.0,0.325,0.009000000000000001,7.4,6.5,0.47,0.0455,120.19095495818641
7,1994-02-14,0.02,104.8,10.78,5.0,0.32,0.01,7.4,6.5,0.48,0.053,120.96897007292668
8,1994-03-08,0.02,101.9,11.37,2.0,0.46,0.01,7.5,7.1,0.69,0.024,154.85299122153364
9,1994-03-08,0.02,103.5,11.02,2.0,0.43000000000000005,0.0075,7.5,6.9,0.6499999999999999,0.0185,144.02751215479276
10,1994-03-08,0.02,104.0,10.94,2.0,0.43000000000000005,0.0075,7.5,6.8,0.6499999999999999,0.0185,144.0134526909631
11,1994-03-08,0.02,104.3,10.75,2.0,0.4,0.005,7.4,6.8,0.61,0.013,133.21192443359303
12,1994-03-22,0.02,102.8,12.32,0.0,0.31,0.002,8.3,7.7,0.53,0.015,106.81989052268686
13,1994-03-22,0.02,102.3,12.38,0.0,0.32999999999999996,0.002,8.3,7.7,0.55,0.015,112.87601860785567
14,1994-03-22,0.02,102.9,12.05,0.0,0.32999999999999996,0.002,8.1,7.4,0.55,0.015,112.81655575991053
15,1994-03-22,0.02,105.7,11.45,0.0,0.35,0.002,7.7,7.2,0.57,0.015,118.77835257667508
16,1994-04-05,0.02,102.6,14.25,1.0,0.263,0.0047,9.1,8.9,0.485,0.007,90.53385834051115
17,1994-04-05,0.02,103.1,14.08,1.0,0.2855,0.0047,9.0,8.7,0.4975,0.012499999999999999,98.93849464371733
18,1994-04-05,0.02,103.1,12.7,1.0,0.2855,0.0047,8.5,7.8,0.4975,0.012499999999999999,98.72547189442452
19,1994-04-05,0.02,103.1,12.29,1.0,0.308,0.0047,8.2,7.6,0.51,0.018,107.09794008367858
20,1994-04-19,0.02,104.4,12.62,0.0,0.28,0.002,9.1,13.0,0.461,0.016,98.3517296406767
21,1994-04-19,0.02,104.7,12.59,0.0,0.2805,0.002,9.1,13.0,0.4595,0.0165,98.64605387386412
22,1994-04-19,0.02,104.9,12.59,0.0,0.2805,0.002,9.1,13.0,0.4595,0.0165,98.6460605499314
23,1994-04-19,0.02,104.8,12.57,0.0,0.281,0.002,9.1,13.0,0.458,0.017,98.94136456495966
24,1994-05-03,0.02,106.9,12.01,0.0,0.265,0.002,8.9,13.6,0.439,0.02,94.96915093822658
25,1994-05-03,0.02,107.5,11.57,0.0,0.265,0.002,8.9,13.4,0.437,0.014,93.10650019977548
26,1994-05-03,0.02,107.7,11.55,0.0,0.265,0.002,8.9,13.4,0.437,0.014,93.10452060789201
27,1994-05-03,0.02,107.9,11.54,0.0,0.265,0.002,8.9,13.4,0.435,0.008,91.2968234426371
28,1994-05-24,0.02,114.3,10.19,1.0,0.264,0.002,8.4,18.6,0.434,0.013,92.66076042365265
29,1994-05-24,0.02,114.4,10.24,1.0,0.2675,0.002,8.5,17.1,0.4445,0.016,94.5525768276585
30,1994-05-24,0.02,114.5,10.21,1.0,0.2675,0.002,8.5,17.0,0.4445,0.016,94.54346968157114
31,1994-05-24,0.02,114.7,10.33,1.0,0.271,0.002,8.5,16.4,0.455,0.019,96.49326299700468
32,1994-05-24,0.02,113.9,10.79,1.0,0.2675,0.002,8.5,15.2,0.4445,0.016,94.49069194443277
33,1994-05-24,0.02,112.9,11.09,1.0,0.2675,0.002,8.5,13.5,0.4445,0.016,94.41622418604437
34,1994-05-24,0.02,111.9,11.53,1.0,0.2675,0.002,8.5,11.9,0.4445,0.016,94.36179138550605
35,1994-06-07,0.02,108.3,9.96,6.0,0.251,0.002,8.2,17.0,0.395,0.011,87.94441875933914
36,1994-06-07,0.02,108.6,9.92,6.0,0.25,0.002,8.2,17.0,0.4135,0.010499999999999999,87.52841771017025
37,1994-06-07,0.02,108.7,9.91,6.0,0.25,0.002,8.2,17.0,0.4135,0.010499999999999999,87.52742791422851
38,1994-06-07,0.02,108.9,9.93,6.0,0.249,0.002,8.2,17.0,0.432,0.01,87.11738233087816
39,1994-07-06,0.051,116.0,9.8,0.0,0.15,0.0041,8.8,20.1,0.34,0.011,67.02368746997313
40,1994-07-06,0.0355,116.3,9.82,0.0,0.178,0.00305,8.9,19.8,0.395,0.0125,71.31949813452057
41,1994-07-06,0.0355,116.4,9.93,0.0,0.178,0.00305,8.9,19.7,0.395,0.0125,71.3242948640884
42,1994-07-06,0.02,117.0,9.69,0.0,0.206,0.002,8.8,19.4,0.45,0.014,75.58597785100207
43,1994-08-02,0.02,114.6,10.07,0.0,0.05,0.002,9.2,23.9,0.314,0.06,42.585902054971726
44,1994-08-02,0.02,115.0,10.2,0.0,0.05,0.002,9.2,23.7,0.29600000000000004,0.039,36.240127527411225
45,1994-08-02,0.02,115.3,10.22,0.0,0.05,0.002,9.2,23.7,0.29600000000000004,0.039,36.24212380946289
46,1994-08-02,0.02,115.6,10.27,0.0,0.05,0.002,9.2,23.7,0.278,0.018,29.900663036455576
47,1994-09-07,0.02,105.2,9.38,0.0,0.05,0.002,9.1,21.3,0.217,0.014,28.331668237582207
48,1994-09-07,0.02,105.8,9.51,0.0,0.05,0.002,9.1,21.1,0.22649999999999998,0.014499999999999999,28.50236793158305
49,1994-09-07,0.02,105.9,9.31,0.0,0.05,0.002,9.0,21.1,0.22649999999999998,0.014499999999999999,28.47835048592174
50,1994-09-07,0.02,106.2,9.3,0.0,0.05,0.002,9.0,21.1,0.236,0.015,28.647398454556253
51,1994-10-04,0.02,110.7,9.28,2.0,0.05,0.005,8.8,19.0,0.198,0.013,27.864749555256367
52,1994-10-04,0.02,111.2,8.97,2.0,0.05,0.0035,8.8,19.0,0.20350000000000001,0.0135,27.97763971494547
53,1994-10-04,0.02,111.2,9.03,2.0,0.05,0.0035,8.8,18.9,0.20350000000000001,0.0135,27.977467436602808
54,1994-10-04,0.02,111.3,9.01,2.0,0.05,0.002,8.8,18.9,0.209,0.014,28.119145129443098
55,1994-11-01,0.02,108.3,8.72,13.0,0.05,0.0022,7.3,13.1,0.289,0.031,32.9505795604081
56,1994-11-01,0.02,108.4,8.63,13.0,0.05,0.0021000000000000003,7.4,13.1,0.294,0.0265,31.603128835890846
57,1994-11-01,0.02,108.4,8.61,13.0,0.05,0.0021000000000000003,7.3,13.1,0.294,0.0265,31.596984463752566
58,1994-11-01,0.02,108.5,8.58,13.0,0.05,0.002,7.4,13.1,0.299,0.022,30.255492543087527
59,1994-12-07,0.02,113.5,8.88,4.0,0.206,0.014,7.1,8.3,0.389,0.03,79.5785475991819
60,1994-12-07,0.02,112.4,8.81,4.0,0.207,0.0133,7.1,8.3,0.3865,0.028999999999999998,79.55793142065126
61,1994-12-07,0.02,112.3,8.77,4.0,0.207,0.0133,7.1,8.3,0.3865,0.028999999999999998,79.55395554671614
62,1994-12-07,0.02,112.1,8.77,4.0,0.208,0.0126,7.1,8.3,0.384,0.028,79.54032134831586
63,1995-01-17,0.02,89.6,10.59,12.0,0.329,0.0096,7.7,6.5,0.569,0.027,116.03690123142573
64,1995-01-17,0.02,90.8,10.54,12.0,0.3315,0.00945,7.7,6.4,0.5525,0.037,119.7449063700555
65,1995-01-17,0.02,91.4,10.54,12.0,0.3315,0.00945,7.7,6.4,0.5525,0.037,119.74492639825735
66,1995-01-17,0.02,92.1,10.49,12.0,0.334,0.0093,7.7,6.4,0.536,0.047,123.45904592891381
67,1995-02-08,0.02,108.6,11.1,0.0,0.521,0.0104,8.0,7.4,0.708,0.025,173.53384169259917
68,1995-02-08,0.02,108.9,11.0,0.0,0.515,0.01035,7.8,7.3,0.706,0.025,171.70216152297448
69,1995-02-08,0.02,109.2,11.09,0.0,0.515,0.01035,7.7,7.4,0.706,0.025,171.71308272086108
70,1995-02-08,0.02,109.4,11.02,0.0,0.509,0.0103,7.6,7.1,0.704,0.025,169.87627455492662
71,1995-03-07,0.02,99.3,11.69,0.0,0.484,0.0057,7.5,7.2,0.664,0.031,164.09768416638892
72,1995-03-07,0.02,99.8,11.5,0.0,0.477,0.00575,7.5,7.0,0.651,0.032,162.23751030407237
73,1995-03-07,0.02,100.0,11.43,0.0,0.477,0.00575,7.5,7.0,0.651,0.032,162.23056504231204
74,1995-03-07,0.02,100.0,11.37,0.0,0.47,0.0058,7.5,7.0,0.638,0.033,160.39554739589693
75,1995-04-04,0.02,100.3,13.17,0.0,0.383,0.002,8.7,11.1,0.708,0.022,131.53451111748365
76,1995-04-04,0.02,100.7,13.06,0.0,0.398,0.002,8.7,11.1,0.6399999999999999,0.0195,135.1370214105828
77,1995-04-04,0.02,101.0,13.06,0.0,0.398,0.002,8.7,11.1,0.6399999999999999,0.0195,135.13703142468373
78,1995-04-04,0.02,101.1,13.09,0.0,0.413,0.002,8.7,11.1,0.572,0.017,138.75343557933715
79,1995-04-18,0.02,104.7,13.0,0.0,0.313,0.002,9.0,11.1,0.533,0.011,106.83088636511457
80,1995-04-18,0.02,104.7,13.14,0.0,0.313,0.002,9.0,10.7,0.5569999999999999,0.0135,107.62139398545578
81,1995-04-18,0.02,103.4,13.16,0.0,0.313,0.002,9.0,10.4,0.5569999999999999,0.0135,107.60494361238453
82,1995-04-18,0.02,103.5,13.06,0.0,0.313,0.002,9.0,10.3,0.581,0.016,108.39001260193515
83,1995-05-02,0.02,104.7,11.92,4.0,0.313,0.002,8.9,14.5,0.566,0.0258,111.44369370243018
84,1995-05-02,0.02,104.4,11.92,4.0,0.311,0.00215,8.9,14.5,0.53,0.0211,109.35754618502492
85,1995-05-02,0.02,104.6,11.9,4.0,0.311,0.00215,8.9,14.5,0.53,0.0211,109.35556659314145
86,1995-05-02,0.02,104.5,11.71,4.0,0.309,0.0023,8.9,14.5,0.494,0.0164,107.25055620627141
87,1995-05-16,0.02,107.1,10.54,0.0,0.281,0.002,8.8,16.9,0.504,0.012,97.56032636515717
88,1995-05-16,0.02,107.0,10.56,0.0,0.2965,0.002,8.8,16.9,0.505,0.011,101.92052946556797
89,1995-05-16,0.02,107.0,9.89,0.0,0.2965,0.002,8.8,16.9,0.505,0.011,101.85398948921814
90,1995-05-16,0.02,104.8,10.67,0.0,0.312,0.002,8.6,11.7,0.506,0.01,105.96246819054133
91,1995-06-05,0.02,106.3,9.76,7.0,0.225,0.002,8.6,21.0,0.407,0.005,78.59802823558101
92,1995-06-05,0.02,106.3,9.81,7.0,0.2365,0.002,8.6,21.0,0.4515,0.006,82.45112081042464
93,1995-06-05,0.02,105.4,9.98,7.0,0.2365,0.002,8.6,20.5,0.4515,0.006,82.43731863472874
94,1995-06-05,0.02,104.0,11.4,7.0,0.2365,0.002,8.8,17.9,0.4515,0.006,82.42720499806835
95,1995-06-05,0.02,102.9,12.03,7.0,0.248,0.002,8.8,16.5,0.496,0.007,86.25202747438502
96,1995-07-10,0.02,113.7,10.65,12.0,0.05,0.0034,9.0,21.5,0.442,0.0108,27.993043121454743
97,1995-07-10,0.02,112.2,10.6,12.0,0.05,0.00465,9.0,21.5,0.39,0.01085,27.90958359054646
98,1995-07-10,0.02,112.1,10.59,12.0,0.05,0.00465,9.0,21.4,0.39,0.01085,27.90245603634256
99,1995-07-10,0.02,112.6,10.54,12.0,0.05,0.0059,9.0,21.3,0.338,0.0109,27.81293218391218
100,1995-08-01,0.02,108.5,9.5,2.0,0.05,0.0022,9.1,22.7,0.28,0.014,28.56369929223331
101,1995-08-01,0.02,108.3,9.39,2.0,0.05,0.0021000000000000003,9.1,22.5,0.3295,0.0135,28.492363187882354
102,1995-08-01,0.02,107.8,9.74,2.0,0.05,0.0021000000000000003,9.1,22.4,0.3295,0.0135,28.52097510465724
103,1995-08-01,0.02,107.8,9.64,2.0,0.05,0.002,9.1,21.9,0.379,0.013,28.43224556376426
104,1995-09-12,0.02,110.7,9.5,6.0,0.05,0.0044,8.8,20.4,0.19,0.005,25.54580847685739
105,1995-09-12,0.02,110.2,9.62,6.0,0.05,0.00395,8.8,20.3,0.216,0.005,25.600413744343754
106,1995-09-12,0.02,110.1,9.66,6.0,0.05,0.00395,8.8,20.3,0.216,0.005,25.604382942211597
107,1995-09-12,0.02,110.0,9.7,6.0,0.05,0.0035,8.8,20.2,0.242,0.005,25.651056490029553
108,1995-10-02,0.02,159.0,9.02,11.0,0.05,0.0021,8.4,18.4,0.251,0.005,25.46094407544549
109,1995-10-02,0.02,161.0,9.05,11.0,0.05,0.0020499999999999997,8.4,18.4,0.22749999999999998,0.005,25.414362022910016
110,1995-10-02,0.02,160.0,9.06,11.0,0.05,0.0020499999999999997,8.4,18.4,0.22749999999999998,0.005,25.415321776548996
111,1995-10-02,0.02,158.0,9.04,11.0,0.05,0.002,8.4,18.4,0.204,0.005,25.36364053279109
112,1995-11-09,0.031,106.1,8.65,13.0,0.12,0.009,7.1,11.5,0.366,0.0211,54.439575853514505
113,1995-11-09,0.03,107.4,8.7,13.0,0.126,0.0095,7.1,11.5,0.40900000000000003,0.0174,54.93085296825407
114,1995-11-09,0.03,108.4,8.64,13.0,0.126,0.0095,7.1,11.5,0.40900000000000003,0.0174,54.92492754473824
115,1995-11-09,0.029,109.1,8.61,13.0,0.132,0.01,7.1,11.5,0.452,0.0137,55.40823955947302
116,1995-12-05,0.02,104.4,8.7,10.0,0.335,0.012,7.0,10.0,0.533,0.033,119.59365558858539
117,1995-12-05,0.02,104.9,8.66,10.0,0.333,0.012,7.0,10.0,0.5845,0.031,118.49545059042322
118,1995-12-05,0.02,104.8,8.67,10.0,0.333,0.012,7.0,10.0,0.5845,0.031,118.49644038636495
119,1995-12-05,0.02,105.5,8.76,10.0,0.331,0.012,7.1,10.0,0.636,0.029,117.41531091013739
120,1996-01-03,0.02,102.7,10.12,1.0,0.429,0.009,7.1,8.3,0.572,0.033,147.91814839920093
121,1996-01-03,0.02,103.3,9.71,1.0,0.429,0.009,7.1,8.3,0.582,0.0325,147.7481011308843
122,1996-01-03,0.02,103.4,9.67,1.0,0.429,0.009,7.1,8.3,0.582,0.0325,147.74413193301643
123,1996-01-03,0.02,103.6,9.67,1.0,0.429,0.009,7.1,8.3,0.592,0.032,147.61478980555543
124,1996-02-07,0.02,94.4,11.06,13.0,0.585,0.009,7.1,6.1,0.828,0.037,196.48009001205946
125,1996-02-07,0.02,100.6,10.8,13.0,0.5565,0.0075,7.1,6.2,0.7789999999999999,0.03,185.67533642910908
126,1996-02-07,0.02,101.0,10.72,13.0,0.5565,0.0075,7.1,6.2,0.7789999999999999,0.03,185.6674047094407
127,1996-02-07,0.02,100.7,10.69,13.0,0.528,0.006,7.1,6.1,0.73,0.023,174.87301407134748
128,1996-03-06,0.02,99.4,11.88,1.0,0.62,0.012,7.7,6.3,0.832,0.027,204.15189813137252
