Water samples are reported as mg/L of water, while sediment samples are reported as mg/kg of 
                    sediment (wet weight). Results of bacteria cultures are reported as CFU (colony-forming units)/100mls
                     of liquid sample or as MPN (most probable number)/g of thick or solid samples.
Note: ORG/100 ml = CFU/100 ml
These data include samples collected during both baseflow and wet weather/storm flow events.
Chlorophyll a - The laboratory changed analysis methods in July 1996. This method change resulted 
                    in a 14 percent increase in chlorophyll values due to improved extraction. Values reported prior to 
                    July 1996 can be adjusted by increasing them 14 percent for comparison with more recent data.
Total Phosphorus Note: The KCEL changed the TP analysis method in July 1998 and again in Jan 2007.
                    These changes resulted in a bias towards lower TP values reported. For comparisons with historical 
                    data, values reported after July 1, 1998 may be multiplied by a factor of 1.262. (R2 = 0.989)
Lake Sammamish-M621
CollectDate,SampleNum,Depth (m),Ammmonia Nitrogen (mg/L),Ammmonia Nitrogen Qualifier*,AN MDL (mg/L),Conductivity (µmhos/cm),Cond Qualifier*,Cond MDL (µmhos/cm),Dissolved Oxygen (mg/L),DO Qualifier*,DO MDL (mg/L),Ecoli,Ecoli Qualifier*,Fecal Coliform (CFU/100ml),Fecal Coliform Qualifier*,Nitrate Nitrite (mg/L),Nitrate Nitrite Qualifier*,Nitrate Nitrite MDL (mg/L),Orthophosphate Phosphate (mg/L),OP Qualifier*,OP MDL (mg/L),pH,pH Qualifier*,Temperature (°C),Temperature Qualifier*,Total Nitrogen (mg/L),TN Qualifier*,TN MDL (mg/L),Total Phosphorus (mg/L),TP Qualifier*,TP MDL (mg/L),Total Alkalinity (mg/L),Total Alkalinity Qualifier*,Total Alkalinity MDL (mg/L),
01/06/1994,L2704-11,,0.020,<MDL      ,0.020,,,,,,,,,4,,0.300,,0.050,0.0120,,0.0020,,,,,0.440,,0.050,0.0220,,0.005,42.0,,0.2,
01/06/1994,L2704-12,3.0,,,,105.0,,,9.37,,,,,,,,,,,,,7.4,,7.3,,,,,,,,,,,
01/06/1994,L2704-13,5.0,,,,104.0,,,9.31,,,,,,,,,,,,,7.4,,7.3,,,,,,,,,,,
01/06/1994,L2704-14,7.0,0.020,<MDL      ,0.020,103.0,,,9.28,,,,,,,0.320,,0.050,0.0130,,0.0020,7.4,,7.2,,0.450,,0.050,0.0240,,0.005,41.0,,0.2,
02/14/1994,L2938-11,1.0,0.020,<MDL      ,0.020,102.5,,,11.02,,,,,5,,0.330,,0.050,0.0080,,0.0020,7.4,,6.5,,0.460,,0.050,0.0380,,0.005,,,,
02/14/1994,L2938-12,3.0,,,,103.3,,,10.85,,,,,,,,,,,,,7.4,,6.5,,,,,,,,,,,
02/14/1994,L2938-13,5.0,,,,103.7,,,10.84,,,,,,,,,,,,,7.4,,6.5,,,,,,,,,,,
02/14/1994,L2938-14,7.0,0.020,<MDL      ,0.020,104.8,,,10.78,,,,,,,0.320,,0.050,0.0100,,0.0020,7.4,,6.5,,0.480,,0.050,0.0530,,0.005,,,,
03/08/1994,L3136-11,1.0,0.020,<MDL      ,0.020,101.9,,,11.37,,,,,2,,0.460,,0.050,0.0100,,0.0020,7.5,,7.1,,0.690,,0.050,0.0240,,0.005,,,,
03/08/1994,L3136-12,3.0,,,,103.5,,,11.02,,,,,,,,,,,,,7.5,,6.9,,,,,,,,,,,
03/08/1994,L3136-13,5.0,,,,104.0,,,10.94,,,,,,,,,,,,,7.5,,6.8,,,,,,,,,,,
03/08/1994,L3136-14,7.0,0.020,<MDL      ,0.020,104.3,,,10.75,,,,,,,0.400,,0.050,0.0050,,0.0020,7.4,,6.8,,0.610,,0.050,0.0130,,0.005,,,,
03/22/1994,L3278-11,1.0,0.020,<MDL      ,0.020,102.8,,,12.32,,,,,0,,0.310,,0.050,0.0020,<RDL      ,0.0020,8.3,,7.7,,0.530,,0.050,0.0150,,0.005,,,,
03/22/1994,L3278-12,3.0,,,,102.3,,,12.38,,,,,,,,,,,,,8.3,,7.7,,,,,,,,,,,
03/22/1994,L3278-13,5.0,,,,102.9,,,12.05,,,,,,,,,,,,,8.1,,7.4,,,,,,,,,,,
03/22/1994,L3278-14,7.0,0.020,<MDL      ,0.020,105.7,,,11.45,,,,,,,0.350,,0.050,0.0020,<RDL      ,0.0020,7.7,,7.2,,0.570,,0.050,0.0150,,0.005,,,,
