Water samples are reported as mg/L of water, while sediment samples are reported as mg/kg of 
                    sediment (wet weight). Results of bacteria cultures are reported as CFU (colony-forming units)/100mls
                     of liquid sample or as MPN (most probable number)/g of thick or solid samples.
Note: ORG/100 ml = CFU/100 ml
These data include samples collected during both baseflow and wet weather/storm flow events.
Chlorophyll a - The laboratory changed analysis methods in July 1996. This method change resulted 
                    in a 14 percent increase in chlorophyll values due to improved extraction. Values reported prior to 
                    July 1996 can be adjusted by increasing them 14 percent for comparison with more recent data.
Total Phosphorus Note: The KCEL changed the TP analysis method in July 1998 and again in Jan 2007.
                    These changes resulted in a bias towards lower TP values reported. For comparisons with historical 
                    data, values reported after July 1, 1998 may be multiplied by a factor of 1.262. (R2 = 0.989)
Lake Sammamish-SAMMBUOY
CollectDate,SampleNum,Depth (m),Ammmonia Nitrogen (mg/L),Ammmonia Nitrogen Qualifier*,AN MDL (mg/L),Conductivity (µmhos/cm),Cond Qualifier*,Cond MDL (µmhos/cm),Dissolved Oxygen (mg/L),DO Qualifier*,DO MDL (mg/L),Ecoli,Ecoli Qualifier*,Fecal Coliform (CFU/100ml),Fecal Coliform Qualifier*,Nitrate Nitrite (mg/L),Nitrate Nitrite Qualifier*,Nitrate Nitrite MDL (mg/L),Orthophosphate Phosphate (mg/L),OP Qualifier*,OP MDL (mg/L),pH,pH Qualifier*,Temperature (°C),Temperature Qualifier*,Total Nitrogen (mg/L),TN Qualifier*,TN MDL (mg/L),Total Phosphorus (mg/L),TP Qualifier*,TP MDL (mg/L),Total Alkalinity (mg/L),Total Alkalinity Qualifier*,Total Alkalinity MDL (mg/L),
05/15/2018,L70133-1,1.0,,,,101.0,,0.5,10.30,,0.5,,,,,,,,,,,7.9,,18.8,,,,,,,,,,,
05/15/2018,L70133-2,2.0,,,,101.0,,0.5,10.70,,0.5,,,,,,,,,,,8.0,,18.3,,,,,,,,,,,
05/15/2018,L70133-3,3.1,,,,101.0,,0.5,10.80,,0.5,,,,,,,,,,,8.0,,17.2,,,,,,,,,,,
05/15/2018,L70133-4,4.0,,,,101.0,,0.5,11.30,,0.5,,,,,,,,,,,8.1,,15.0,,,,,,,,,,,
05/15/2018,L70133-5,5.0,,,,100.0,,0.5,11.30,,0.5,,,,,,,,,,,8.1,,14.2,,,,,,,,,,,
05/15/2018,L70133-6,6.0,,,,99.1,,0.5,11.30,,0.5,,,,,,,,,,,8.0,,12.0,,,,,,,,,,,
05/15/2018,L70133-7,7.0,,,,98.5,,0.5,11.20,,0.5,,,,,,,,,,,7.9,,11.1,,,,,,,,,,,
05/15/2018,L70133-8,8.0,,,,98.5,,0.5,11.30,,0.5,,,,,,,,,,,7.9,,11.0,,,,,,,,,,,
05/15/2018,L70133-9,9.0,,,,98.5,,0.5,11.20,,0.5,,,,,,,,,,,7.8,,10.7,,,,,,,,,,,
05/15/2018,L70133-10,10.0,,,,98.6,,0.5,11.10,,0.5,,,,,,,,,,,7.8,,10.3,,,,,,,,,,,
05/15/2018,L70133-11,11.0,,,,98.5,,0.5,11.20,,0.5,,,,,,,,,,,7.8,,10.0,,,,,,,,,,,
05/15/2018,L70133-12,12.0,,,,98.4,,0.5,11.10,,0.5,,,,,,,,,,,7.7,,9.9,,,,,,,,,,,
05/15/2018,L70133-13,13.0,,,,98.7,,0.5,10.50,,0.5,,,,,,,,,,,7.6,,9.6,,,,,,,,,,,
05/15/2018,L70133-14,14.0,,,,98.6,,0.5,9.90,,0.5,,,,,,,,,,,7.5,,9.4,,,,,,,,,,,
05/15/2018,L70133-15,15.0,,,,98.8,,0.5,9.50,,0.5,,,,,,,,,,,7.3,,9.2,,,,,,,,,,,
05/15/2018,L70133-16,16.0,,,,98.7,,0.5,9.40,,0.5,,,,,,,,,,,7.3,,9.0,,,,,,,,,,,
